to be,was/were,been,zijn; worden
to beat,beat,beaten,(ver)slaan
to become,became,become,worden
To begin,began,begun,beginnen; starten
to bet,bet,bet,wedden
to bite,bit,bitten,bijten
to blow,blew,blown,waaien; blazen
to break,broke,broken,breken
to bring,brought,brought,brengen
to build,built,built,bouwen
to burn,burnt,burnt,(ver)branden
to buy,bought,bought,kopen
to catch,caught,caught,vangen
to choose,chose,chosen,kiezen
to come,came,come,komen
to cost,cost,cost,kosten
to cut,cut,cut,snijden; knippen
to dig,dug,dug,graven
to do,did,done,doen
to draw,drew,drawn,trekken; tekenen
to drink,drank,drunk,drinken
to drive,drove,driven,rijden (auto); (aan)drijven
to eat,ate,eaten,eten
to fall,fell,fallen,vallen
to feed,fed,fed,voeren; (zich)voeden
to feel,felt,felt,(zich) voelen
to fight,fought,fought,ruzie maken; vechten
to find,found,found,vinden
to flee,fled,fled,vluchten
to fly,flew,flown,vliegen
to forget,forgot,forgotten,vergeten
to forgive,forgave,forgiven,vergeven
to freeze,froze,frozen,(be)vriezen
to get ,got ,got ,krijgen; worden
to give,gave,given,geven
to go,went,gone,(langs) gaan
to grow (up),grew (up),grown (up),(op)groeien; worden
to hang (up),hung (up) ,hung (up),(op)hangen
to have (got),had,had,hebben
to hear,heard,heard,horen
to hide,hid,hidden,(zich) verbergen
to hit,hit,hit,slaan; raken
to hold,held,held,(vast)houden
to hurt,hurt,hurt,pijn doen
to keep,kept,kept,houden; bewaren
to know,knew,known,weten; kennen 
to learn,learnt,learnt,leren
to leave,left,left,(ver)laten
to lend,lent,lent,(uit)lenen aan
to let,let,let,laten; verhuren
to lie,lay,lain,liggen
to lose,lost,lost,verliezen
to make,made,made,maken
to mean,meant,meant,bedoelen; betekenen
to meet,met,met,ontmoeten
to pay,paid,paid,betalen
to put,put,put,aan/neerzetten
to quit,quit,quit,ophouden (met)
to read,read,read,lezen
to ride,rode,ridden,rijden (fiets/paard)
to ring,rang,rung,(op)bellen
to rise,rose,risen,opstaan; stijgen
to run,ran,run,weglopen
to say,said,said,zeggen
to see,saw,seen,zien
to sell,sold,sold,verkopen
to send,sent,sent,(ver)zenden; (ver)sturen
to set,set,set,zetten; plaatsen; instellen
to shake,shook,shaken,schudden
to shoot,shot,shot,schieten; filmen
to show,showed,shown,tonen; laten zien
to sing,sang,sung,zingen
to sit,sat,sat,zitten
to sleep,slept,slept,slapen
to smell,smelt,smelt,ruiken
to speak,spoke,spoken,spreken
to spend,spent,spent,doorbrengen; uitgeven
To stand,stood,stood,staan
to swim,swam,swum,zwemmen
to take,took,taken,nemen; meebrengen
to teach,taught,taught,onderwijzen
to tear,tore,torn,scheuren; trekken
to tell,told,told,vertellen; zeggen
to think,thought,thought,denken
to throw,threw,thrown ,gooien
to understand,understood,understood,begrijpen; verstaan
to wake (up),woke (up),woken (up),wakker worden/maken
to wear,wore,worn,dragen (kleding)
to win,won,won,winnen
to write,wrote,written,schrijven
to bind, bound, bound, binden  
to deal, dealt, dealt, handelen  
to lead, lead, lead, leiden  
to light, lit, lit, aansteken  
to shut, shut, shut, dichtdoen  
to spell, spelt, spelt, spellen  
to steal, stole, stolen, stelen  
to stick, stuck, stuck, (vast)plakken  
to strike, struck, struck, staken; slaan; raken  
to swear, swore, sworn, zweren; vloeken  
to sweep, swept, swept, vegen
